year,level_1,level_2,level_3,level_4,value
2015,Total,Services- Information & Communications,"Total","Motorcycle/Scooter Only",1.5
2015,Total,Services- Information & Communications,"Total","Others",0.4
2015,Total,Services- Information & Communications,"Total","No Transport Required",5.5
2015,Total,Services- Financial & Insurance Services,"Total","Public Bus Only",17.7
2015,Total,Services- Financial & Insurance Services,"Total","MRT Only",39
2015,Total,Services- Financial & Insurance Services,"Total","MRT & Public Bus Only",48.5
2015,Total,Services- Financial & Insurance Services,"Total","Other Combinations Of MRT Or Public Bus",12.3
2015,Total,Services- Financial & Insurance Services,"Total","Taxi Only",2.7
2015,Total,Services- Financial & Insurance Services,"Total","Car Only",35.9
2015,Total,Services- Financial & Insurance Services,"Total","Private Chartered Bus/Van Only",2.1
2015,Total,Services- Financial & Insurance Services,"Total","Lorry/Pickup Only",0.3
2015,Total,Services- Financial & Insurance Services,"Total","Motorcycle/Scooter Only",3
2015,Total,Services- Financial & Insurance Services,"Total","Others",1.4
2015,Total,Services- Financial & Insurance Services,"Total","No Transport Required",4.4
2015,Total,Services- Real Estate Services,"Total","Public Bus Only",8.8
2015,Total,Services- Real Estate Services,"Total","MRT Only",6.6
2015,Total,Services- Real Estate Services,"Total","MRT & Public Bus Only",14.6
2015,Total,Services- Real Estate Services,"Total","Other Combinations Of MRT Or Public Bus",3.1
2015,Total,Services- Real Estate Services,"Total","Taxi Only",0.4
2015,Total,Services- Real Estate Services,"Total","Car Only",14.7
2015,Total,Services- Real Estate Services,"Total","Private Chartered Bus/Van Only",0.3
2015,Total,Services- Real Estate Services,"Total","Lorry/Pickup Only",0.2
2015,Total,Services- Real Estate Services,"Total","Motorcycle/Scooter Only",1.5
2015,Total,Services- Real Estate Services,"Total","Others",0.8
2015,Total,Services- Real Estate Services,"Total","No Transport Required",4.2
2015,Total,Services- Professional Services,"Total","Public Bus Only",17.2
2015,Total,Services- Professional Services,"Total","MRT Only",29.6
2015,Total,Services- Professional Services,"Total","MRT & Public Bus Only",48.7
2015,Total,Services- Professional Services,"Total","Other Combinations Of MRT Or Public Bus",9.6
2015,Total,Services- Professional Services,"Total","Taxi Only",2.1
2015,Total,Services- Professional Services,"Total","Car Only",39.6
