year,level_1,level_2,level_3,level_4,value
2015,Females,Services- Total,"Total","Private Chartered Bus/Van Only",13
2015,Females,Services- Total,"Total","Lorry/Pickup Only",3.4
2015,Females,Services- Total,"Total","Motorcycle/Scooter Only",3.7
2015,Females,Services- Total,"Total","Others",7.6
2015,Females,Services- Total,"Total","No Transport Required",78.7
2015,Females,Services- Wholesale & Retail Trade,"Total","Public Bus Only",33.8
2015,Females,Services- Wholesale & Retail Trade,"Total","MRT Only",23.9
2015,Females,Services- Wholesale & Retail Trade,"Total","MRT & Public Bus Only",50.7
2015,Females,Services- Wholesale & Retail Trade,"Total","Other Combinations Of MRT Or Public Bus",10.4
2015,Females,Services- Wholesale & Retail Trade,"Total","Taxi Only",1.3
2015,Females,Services- Wholesale & Retail Trade,"Total","Car Only",29.8
2015,Females,Services- Wholesale & Retail Trade,"Total","Private Chartered Bus/Van Only",4.1
2015,Females,Services- Wholesale & Retail Trade,"Total","Lorry/Pickup Only",1.8
2015,Females,Services- Wholesale & Retail Trade,"Total","Motorcycle/Scooter Only",0.4
2015,Females,Services- Wholesale & Retail Trade,"Total","Others",1.7
2015,Females,Services- Wholesale & Retail Trade,"Total","No Transport Required",21.1
2015,Females,Services- Transportation & Storage,"Total","Public Bus Only",9.6
2015,Females,Services- Transportation & Storage,"Total","MRT Only",5.4
2015,Females,Services- Transportation & Storage,"Total","MRT & Public Bus Only",10.9
2015,Females,Services- Transportation & Storage,"Total","Other Combinations Of MRT Or Public Bus",3.5
2015,Females,Services- Transportation & Storage,"Total","Taxi Only",2.5
2015,Females,Services- Transportation & Storage,"Total","Car Only",6.4
2015,Females,Services- Transportation & Storage,"Total","Private Chartered Bus/Van Only",2.9
2015,Females,Services- Transportation & Storage,"Total","Lorry/Pickup Only",0.2
2015,Females,Services- Transportation & Storage,"Total","Motorcycle/Scooter Only",0.3
2015,Females,Services- Transportation & Storage,"Total","Others",0.7
2015,Females,Services- Transportation & Storage,"Total","No Transport Required",3.8
2015,Females,Services- Accommodation & Food Services,"Total","Public Bus Only",23.8
2015,Females,Services- Accommodation & Food Services,"Total","MRT Only",11.9
2015,Females,Services- Accommodation & Food Services,"Total","MRT & Public Bus Only",18
2015,Females,Services- Accommodation & Food Services,"Total","Other Combinations Of MRT Or Public Bus",3.1
2015,Females,Services- Accommodation & Food Services,"Total","Taxi Only",1.4
2015,Females,Services- Accommodation & Food Services,"Total","Car Only",6
2015,Females,Services- Accommodation & Food Services,"Total","Private Chartered Bus/Van Only",0.3
2015,Females,Services- Accommodation & Food Services,"Total","Lorry/Pickup Only",0.8
2015,Females,Services- Accommodation & Food Services,"Total","Motorcycle/Scooter Only",0.6
2015,Females,Services- Accommodation & Food Services,"Total","Others",1.6
2015,Females,Services- Accommodation & Food Services,"Total","No Transport Required",10.7
2015,Females,Services- Information & Communications,"Total","Public Bus Only",5.7
2015,Females,Services- Information & Communications,"Total","MRT Only",5.2
2015,Females,Services- Information & Communications,"Total","MRT & Public Bus Only",11.9
2015,Females,Services- Information & Communications,"Total","Other Combinations Of MRT Or Public Bus",1.9
2015,Females,Services- Information & Communications,"Total","Taxi Only",1
2015,Females,Services- Information & Communications,"Total","Car Only",4.4
2015,Females,Services- Information & Communications,"Total","Private Chartered Bus/Van Only",0.1
2015,Females,Services- Information & Communications,"Total","Lorry/Pickup Only",0
2015,Females,Services- Information & Communications,"Total","Motorcycle/Scooter Only",0.1
2015,Females,Services- Information & Communications,"Total","Others",0
2015,Females,Services- Information & Communications,"Total","No Transport Required",2.4
2015,Females,Services- Financial & Insurance Services,"Total","Public Bus Only",10.7
2015,Females,Services- Financial & Insurance Services,"Total","MRT Only",23.2
2015,Females,Services- Financial & Insurance Services,"Total","MRT & Public Bus Only",28.7
2015,Females,Services- Financial & Insurance Services,"Total","Other Combinations Of MRT Or Public Bus",6.9
2015,Females,Services- Financial & Insurance Services,"Total","Taxi Only",1.4
2015,Females,Services- Financial & Insurance Services,"Total","Car Only",14.4
2015,Females,Services- Financial & Insurance Services,"Total","Private Chartered Bus/Van Only",1.1
2015,Females,Services- Financial & Insurance Services,"Total","Lorry/Pickup Only",0
2015,Females,Services- Financial & Insurance Services,"Total","Motorcycle/Scooter Only",0.2
2015,Females,Services- Financial & Insurance Services,"Total","Others",0.4
2015,Females,Services- Financial & Insurance Services,"Total","No Transport Required",1.7
2015,Females,Services- Real Estate Services,"Total","Public Bus Only",5.4
2015,Females,Services- Real Estate Services,"Total","MRT Only",4
2015,Females,Services- Real Estate Services,"Total","MRT & Public Bus Only",8.2
2015,Females,Services- Real Estate Services,"Total","Other Combinations Of MRT Or Public Bus",1.9
2015,Females,Services- Real Estate Services,"Total","Taxi Only",0.2
2015,Females,Services- Real Estate Services,"Total","Car Only",5.4
2015,Females,Services- Real Estate Services,"Total","Private Chartered Bus/Van Only",0.2
2015,Females,Services- Real Estate Services,"Total","Lorry/Pickup Only",0
2015,Females,Services- Real Estate Services,"Total","Motorcycle/Scooter Only",0.2
2015,Females,Services- Real Estate Services,"Total","Others",0.2
2015,Females,Services- Real Estate Services,"Total","No Transport Required",2.4
2015,Females,Services- Professional Services,"Total","Public Bus Only",8.6
2015,Females,Services- Professional Services,"Total","MRT Only",16.9
2015,Females,Services- Professional Services,"Total","MRT & Public Bus Only",28.6
2015,Females,Services- Professional Services,"Total","Other Combinations Of MRT Or Public Bus",4
2015,Females,Services- Professional Services,"Total","Taxi Only",0.9
2015,Females,Services- Professional Services,"Total","Car Only",12.9
2015,Females,Services- Professional Services,"Total","Private Chartered Bus/Van Only",1
2015,Females,Services- Professional Services,"Total","Lorry/Pickup Only",0.2
2015,Females,Services- Professional Services,"Total","Motorcycle/Scooter Only",0.5
2015,Females,Services- Professional Services,"Total","Others",0.3
2015,Females,Services- Professional Services,"Total","No Transport Required",5.6
2015,Females,Services- Administrative & Support Services,"Total","Public Bus Only",14.6
2015,Females,Services- Administrative & Support Services,"Total","MRT Only",8.7
2015,Females,Services- Administrative & Support Services,"Total","MRT & Public Bus Only",14.2
2015,Females,Services- Administrative & Support Services,"Total","Other Combinations Of MRT Or Public Bus",1.7
2015,Females,Services- Administrative & Support Services,"Total","Taxi Only",0.3
2015,Females,Services- Administrative & Support Services,"Total","Car Only",3.8
2015,Females,Services- Administrative & Support Services,"Total","Private Chartered Bus/Van Only",0.7
2015,Females,Services- Administrative & Support Services,"Total","Lorry/Pickup Only",0.2
2015,Females,Services- Administrative & Support Services,"Total","Motorcycle/Scooter Only",0.2
2015,Females,Services- Administrative & Support Services,"Total","Others",0.9
2015,Females,Services- Administrative & Support Services,"Total","No Transport Required",4.9
2015,Females,Services- Public Administration & Education,"Total","Public Bus Only",27
2015,Females,Services- Public Administration & Education,"Total","MRT Only",15.8
2015,Females,Services- Public Administration & Education,"Total","MRT & Public Bus Only",38.6
2015,Females,Services- Public Administration & Education,"Total","Other Combinations Of MRT Or Public Bus",7.6
2015,Females,Services- Public Administration & Education,"Total","Taxi Only",1.9
2015,Females,Services- Public Administration & Education,"Total","Car Only",27.5
2015,Females,Services- Public Administration & Education,"Total","Private Chartered Bus/Van Only",1.7
2015,Females,Services- Public Administration & Education,"Total","Lorry/Pickup Only",0.1
2015,Females,Services- Public Administration & Education,"Total","Motorcycle/Scooter Only",0.7
2015,Females,Services- Public Administration & Education,"Total","Others",1
2015,Females,Services- Public Administration & Education,"Total","No Transport Required",11.3
2015,Females,Services- Health & Social Services,"Total","Public Bus Only",18.7
2015,Females,Services- Health & Social Services,"Total","MRT Only",12.9
2015,Females,Services- Health & Social Services,"Total","MRT & Public Bus Only",24.9
2015,Females,Services- Health & Social Services,"Total","Other Combinations Of MRT Or Public Bus",4.5
2015,Females,Services- Health & Social Services,"Total","Taxi Only",0.7
2015,Females,Services- Health & Social Services,"Total","Car Only",9.4
2015,Females,Services- Health & Social Services,"Total","Private Chartered Bus/Van Only",0.4
2015,Females,Services- Health & Social Services,"Total","Lorry/Pickup Only",0
2015,Females,Services- Health & Social Services,"Total","Motorcycle/Scooter Only",0.3
2015,Females,Services- Health & Social Services,"Total","Others",0.5
2015,Females,Services- Health & Social Services,"Total","No Transport Required",9.6
2015,Females,"Services- Arts, Entertainment & Recreation","Total","Public Bus Only",4
2015,Females,"Services- Arts, Entertainment & Recreation","Total","MRT Only",3.8
2015,Females,"Services- Arts, Entertainment & Recreation","Total","MRT & Public Bus Only",6.5
2015,Females,"Services- Arts, Entertainment & Recreation","Total","Other Combinations Of MRT Or Public Bus",1.5
2015,Females,"Services- Arts, Entertainment & Recreation","Total","Taxi Only",0.2
2015,Females,"Services- Arts, Entertainment & Recreation","Total","Car Only",1.3
2015,Females,"Services- Arts, Entertainment & Recreation","Total","Private Chartered Bus/Van Only",0.2
2015,Females,"Services- Arts, Entertainment & Recreation","Total","Lorry/Pickup Only",0
2015,Females,"Services- Arts, Entertainment & Recreation","Total","Motorcycle/Scooter Only",0.1
2015,Females,"Services- Arts, Entertainment & Recreation","Total","Others",0.2
2015,Females,"Services- Arts, Entertainment & Recreation","Total","No Transport Required",0.8
2015,Females,"Services- Other Community, Social & Personal Services","Total","Public Bus Only",10
2015,Females,"Services- Other Community, Social & Personal Services","Total","MRT Only",5.3
2015,Females,"Services- Other Community, Social & Personal Services","Total","MRT & Public Bus Only",11.8
2015,Females,"Services- Other Community, Social & Personal Services","Total","Other Combinations Of MRT Or Public Bus",1.4
2015,Females,"Services- Other Community, Social & Personal Services","Total","Taxi Only",0.8
2015,Females,"Services- Other Community, Social & Personal Services","Total","Car Only",4.3
2015,Females,"Services- Other Community, Social & Personal Services","Total","Private Chartered Bus/Van Only",0.4
2015,Females,"Services- Other Community, Social & Personal Services","Total","Lorry/Pickup Only",0
2015,Females,"Services- Other Community, Social & Personal Services","Total","Motorcycle/Scooter Only",0.1
2015,Females,"Services- Other Community, Social & Personal Services","Total","Others",0.1
2015,Females,"Services- Other Community, Social & Personal Services","Total","No Transport Required",4.5
2015,Females,Others,"Total","Public Bus Only",1.1
2015,Females,Others,"Total","MRT Only",0.8
2015,Females,Others,"Total","MRT & Public Bus Only",1.9
2015,Females,Others,"Total","Other Combinations Of MRT Or Public Bus",0.8
2015,Females,Others,"Total","Taxi Only",0.1
2015,Females,Others,"Total","Car Only",0.8
2015,Females,Others,"Total","Private Chartered Bus/Van Only",0.3
2015,Females,Others,"Total","Lorry/Pickup Only",0.1
2015,Females,Others,"Total","Motorcycle/Scooter Only",0
2015,Females,Others,"Total","Others",0.2
2015,Females,Others,"Total","No Transport Required",0.5
