fare_type,applicable_time,distance,fare_per_ride
Adult card fare,All other timings,7.3 km - 8.2 km,141
Adult card fare,All other timings,8.3 km - 9.2 km,147
Adult card fare,All other timings,9.3 km - 10.2 km,151
Adult card fare,All other timings,10.3 km - 11.2 km,155
Adult card fare,All other timings,11.3 km - 12.2 km,159
Adult card fare,All other timings,12.3 km - 13.2 km,163
Adult card fare,All other timings,13.3 km - 14.2 km,167
Adult card fare,All other timings,14.3 km - 15.2 km,172
Adult card fare,All other timings,15.3 km - 16.2 km,176
Adult card fare,All other timings,16.3 km - 17.2 km,180
Adult card fare,All other timings,17.3 km - 18.2 km,184
Adult card fare,All other timings,18.3 km - 19.2 km,188
Adult card fare,All other timings,19.3 km - 20.2 km,191
Adult card fare,All other timings,20.3 km - 21.2 km,194
Adult card fare,All other timings,21.3 km - 22.2 km,197
Adult card fare,All other timings,22.3 km - 23.2 km,200
Adult card fare,All other timings,23.3 km - 24.2 km,202
Adult card fare,All other timings,24.3 km - 25.2 km,204
Adult card fare,All other timings,25.3 km - 26.2 km,206
Adult card fare,All other timings,26.3 km - 27.2 km,207
Adult card fare,All other timings,27.3 km - 28.2 km,208
Adult card fare,All other timings,28.3 km - 29.2 km,209
Adult card fare,All other timings,29.3 km - 30.2 km,210
Adult card fare,All other timings,30.3 km - 31.2 km,211
Adult card fare,All other timings,31.3 km - 32.2 km,212
Adult card fare,All other timings,32.3 km - 33.2 km,213
Adult card fare,All other timings,33.3 km - 34.2 km,214
Adult card fare,All other timings,34.3 km - 35.2 km,215
Adult card fare,All other timings,35.3 km - 36.2 km,216
Adult card fare,All other timings,36.3 km - 37.2 km,217
Adult card fare,All other timings,37.3 km - 38.2 km,218
Adult card fare,All other timings,38.3 km - 39.2 km,219
Adult card fare,All other timings,39.3 km - 40.2 km,220
Adult card fare,All other timings,Over 40.2 km,221
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),Up to 3.2 km,10
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),3.3 km - 4.2 km,17
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),4.3 km - 5.2 km,24
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),5.3 km - 6.2 km,31
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),6.3 km - 7.2 km,37
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),7.3 km - 8.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),8.3 km - 9.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),9.3 km - 10.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),10.3 km - 11.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),11.3 km - 12.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),12.3 km - 13.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),13.3 km - 14.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),14.3 km - 15.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),15.3 km - 16.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),16.3 km - 17.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),17.3 km - 18.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),18.3 km - 19.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),19.3 km - 20.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),20.3 km - 21.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),21.3 km - 22.2 km,43
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),22.3 km - 23.2 km,43
